id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
8917ca150d580cd1ef8c2009bb2af174,gdansk,,60.0,2.0,2.0,5.0,,54.34981,18.66307,0.56,58.0,0.613,1.0,0.34,0.484,0.177,0.857,0.248,condominium,,,no,yes,no,no,no,4700
990265ed6d58b3a1fb8953f12467b194,lodz,blockOfFlats,54.0,2.0,3.0,4.0,2005.0,51.7755,19.4621,0.84,27.0,0.167,0.635,0.246,0.151,0.291,0.582,0.138,condominium,brick,,yes,no,no,yes,yes,2100
cbaf7e99ab0ba40bc4ede80b664ba012,katowice,apartmentBuilding,40.82,2.0,3.0,8.0,2019.0,50.24748,19.03919,1.92,16.0,0.276,0.326,0.498,0.339,0.181,1.555,0.5,condominium,brick,,no,yes,yes,no,no,2900
ec7363115b9ee9dac7c619c4c191b60e,lodz,blockOfFlats,74.0,3.0,3.0,7.0,,51.80166667,19.4325,2.71,4.0,0.626,1.468,0.426,0.105,0.617,1.68,0.498,condominium,concreteSlab,,no,yes,no,no,no,2200
371bd78fbdc441a3ec389446356a6075,katowice,tenement,108.0,5.0,1.0,3.0,,50.2648919,19.0237815,0.69,24.0,0.382,0.168,0.289,0.298,0.141,0.375,0.219,condominium,brick,,no,no,no,no,no,2900
812587fbeab277f0f70e0425ac4ed250,krakow,blockOfFlats,45.0,2.0,,4.0,,50.05844,19.97929,2.94,8.0,0.275,1.022,0.251,0.155,0.464,1.422,0.23,condominium,,,no,yes,no,no,yes,2300
1e94296cbc0d300bd77d78152f906b2c,warszawa,,38.4,2.0,3.0,12.0,,52.22295,20.98381,1.66,36.0,0.127,0.349,0.173,0.476,0.165,1.243,0.197,condominium,,,no,yes,no,no,no,3000
6bf9a6b4483cd869dd48cbd22185c703,warszawa,tenement,90.0,3.0,3.0,4.0,1928.0,52.222658,21.0198321,1.5,81.0,0.175,0.193,0.471,0.19,0.047,0.481,0.184,condominium,brick,,no,no,yes,no,no,9000
31618de4ad2149aa363dc7a331b3c11a,warszawa,,40.0,2.0,2.0,6.0,,52.24353,20.98081,2.03,33.0,0.091,0.209,0.24,0.196,0.018,0.78,0.328,condominium,,,no,yes,no,no,no,4500
7eef12381d915ddb35a81dca492c3f39,wroclaw,blockOfFlats,49.58,2.0,2.0,5.0,2013.0,51.1196553,17.0502771,1.74,27.0,0.064,0.381,0.298,0.221,0.301,0.798,0.338,condominium,,,yes,yes,yes,no,yes,3500
0bde85cad87f1324b108b4b2fb24198d,warszawa,,80.0,3.0,6.0,6.0,,52.24415,20.96572,2.92,18.0,0.294,0.559,0.573,0.186,0.188,1.116,0.079,condominium,,,no,yes,no,no,no,5000
b14dc82c19a36820f6ab55ae6fc47a21,krakow,apartmentBuilding,45.0,2.0,4.0,8.0,,50.0646501,19.9449799,1.14,94.0,0.217,0.403,0.102,0.623,0.042,0.484,0.055,condominium,brick,premium,no,yes,yes,no,no,3800
e884a0f52d1cf832d9b690b4746cea00,warszawa,,50.0,3.0,1.0,4.0,2022.0,52.2197,20.88944,7.89,1.0,0.957,0.658,0.671,0.489,0.697,3.847,0.88,condominium,,,no,no,yes,no,no,3500
b672b1965832a35e04392cdf8d4b224f,lodz,apartmentBuilding,70.0,2.0,2.0,3.0,2013.0,51.7528935,19.4782045,3.57,11.0,0.199,0.351,0.331,0.523,0.124,1.47,0.383,condominium,brick,,yes,no,yes,no,no,2800
60ec9595f011ebc741aff695238b75c7,krakow,apartmentBuilding,36.0,2.0,2.0,6.0,2014.0,50.0106981,19.8900334,6.05,6.0,0.337,0.887,0.901,0.144,0.425,4.208,0.266,condominium,brick,,no,no,yes,no,no,2800
3fcdbe5f10bc530106b82d8748c88b5e,katowice,apartmentBuilding,70.0,3.0,3.0,3.0,2011.0,50.2302,18.963,5.17,7.0,0.316,0.602,0.402,0.409,0.371,3.831,0.188,condominium,brick,,yes,yes,yes,no,yes,4500
3215dd9ecc5a2cdfb20f281595ec38b2,szczecin,blockOfFlats,47.1,2.0,6.0,6.0,2000.0,53.42997,14.56525,0.78,18.0,0.202,0.883,0.162,0.207,0.215,0.248,0.713,condominium,brick,premium,no,yes,yes,no,no,2000
fe1fade0731045956ac1e9ae94fa4098,krakow,apartmentBuilding,50.0,2.0,4.0,6.0,2021.0,50.0788649,19.937057,2.62,8.0,0.583,0.214,0.547,0.519,0.319,0.73,0.463,condominium,brick,premium,yes,yes,yes,no,no,4900
cfa9d30217b22a5ecaa4d20c384af764,wroclaw,apartmentBuilding,38.29,2.0,2.0,9.0,2019.0,51.1271107,17.0246632,1.86,2.0,0.699,0.245,0.645,0.489,0.758,1.283,0.565,condominium,brick,,no,yes,yes,no,no,3400
f3e28ce7b747d0b682c62f76b0f111b9,warszawa,,38.0,2.0,4.0,4.0,1974.0,52.1941056,20.9635795,4.99,14.0,0.244,1.092,0.379,0.15,0.206,2.313,0.667,condominium,,,no,yes,no,no,no,3200
9e87684740d8c569242ae2804db2187b,warszawa,blockOfFlats,42.0,2.0,2.0,4.0,1978.0,52.18925811,20.99145412,4.79,24.0,0.386,0.474,0.152,0.202,0.084,0.875,0.174,condominium,,,no,no,,no,no,2800
2c9c73d0f07cdc556a0f376a1e60a3aa,lodz,apartmentBuilding,40.0,2.0,,1.0,2023.0,51.7189086505501,19.4508199174825,6.97,0.0,0.632,2.27,1.01,0.777,0.684,1.673,0.846,condominium,brick,premium,yes,yes,no,yes,yes,2400
39eb0b8b15d43bc9292ca0751ec48460,krakow,blockOfFlats,49.0,2.0,4.0,7.0,2019.0,50.0487068,19.9649421,2.03,20.0,0.271,0.126,0.546,0.098,0.105,1.025,0.614,condominium,,,no,yes,yes,no,no,3300
2e8ce91a276b7111138a37bd086d3cc9,warszawa,apartmentBuilding,41.42,2.0,3.0,4.0,2017.0,52.1669394,21.0684805,8.45,16.0,0.384,1.108,0.512,0.287,0.105,2.122,0.242,condominium,brick,premium,yes,yes,yes,no,no,3000
11e9e80e95600631a73960b9264808cf,poznan,,46.87,2.0,1.0,5.0,,52.4091654,16.9234397,0.84,65.0,0.137,0.771,0.413,0.066,0.069,0.514,0.044,condominium,,,no,no,yes,no,no,4222
6a5b2b22b36f59028c6fcc2644c34c20,czestochowa,blockOfFlats,56.0,2.0,2.0,4.0,,50.823,19.0906,2.96,3.0,0.788,2.074,0.488,0.384,0.548,1.712,0.602,condominium,,,no,yes,no,no,no,2000
b36c891c2804965e809e25b5d46a62b4,warszawa,tenement,47.0,2.0,,3.0,1936.0,52.20432,21.01227,3.1,27.0,0.196,0.199,0.136,0.137,0.151,0.458,0.205,condominium,brick,,no,no,no,yes,yes,4500
2234443bebce67779ea5c0f44363dbed,warszawa,apartmentBuilding,95.2,3.0,3.0,4.0,2008.0,52.16216455,21.07543892,9.15,31.0,0.666,1.516,0.359,0.435,0.144,2.015,0.129,condominium,brick,premium,yes,yes,yes,no,no,9000
b94c105831f4af9720980f81f6f2be04,warszawa,tenement,56.0,2.0,,3.0,1950.0,52.2016251,21.0303179,3.81,22.0,0.174,0.261,0.152,0.117,0.115,1.232,0.278,condominium,brick,premium,no,no,no,no,no,4950
5044ac05d866527a7c77803ee6e83f8a,bydgoszcz,,40.33,2.0,,6.0,2017.0,53.0960166,18.0250245,3.31,0.0,0.9,2.097,0.991,1.118,0.984,0.618,0.784,condominium,brick,,no,no,no,no,no,2100
7f9eeb83dd305f8f4646bb059c2e9af8,warszawa,blockOfFlats,37.0,2.0,4.0,4.0,1978.0,52.1925,20.9719,4.86,7.0,0.4,0.836,0.225,0.138,0.596,2.144,0.654,condominium,,,yes,yes,no,no,no,3000
ee785aaf29bc30cee0ad02be1b7d3199,krakow,blockOfFlats,39.36,2.0,4.0,9.0,2018.0,50.0834,20.0066,5.78,23.0,0.011,1.412,0.205,0.177,0.327,1.08,0.247,condominium,,,yes,yes,yes,no,yes,2800
01ec95c5fe1a1e772bba0214a05c885a,gdansk,apartmentBuilding,41.0,2.0,,4.0,2017.0,54.351,18.662939,0.58,65.0,0.531,1.081,0.419,0.445,0.191,0.917,0.374,condominium,brick,premium,yes,yes,yes,no,yes,3000
0dae9ee6f91fc8d7490cd5d8f42c38ab,krakow,,43.68,2.0,1.0,3.0,1986.0,50.0496,19.92656,1.06,22.0,0.116,0.685,0.19,0.208,0.042,0.873,0.191,condominium,,,no,no,no,no,no,2500
5b3e4a95f38188aac61d940d6bb56976,bydgoszcz,apartmentBuilding,25.0,1.0,,5.0,2022.0,53.1378,18.0069,1.8,7.0,0.251,0.315,0.534,0.105,0.177,0.677,0.594,condominium,brick,,yes,yes,yes,no,no,1750
0028880c7cfa6e3a9ce823cb871031ef,gdynia,,64.4,3.0,1.0,3.0,1970.0,54.5285411,18.5057323,2.33,10.0,0.315,0.16,0.076,0.198,0.691,1.01,0.15,condominium,,,no,no,no,no,no,2600
440a7260ff0d7f89ff0f60ecc623de0a,poznan,blockOfFlats,52.0,2.0,2.0,4.0,,52.46113476,16.92522383,5.96,5.0,0.553,0.908,0.422,0.657,0.334,4.353,0.33,condominium,brick,,no,yes,no,no,yes,1900
f35a91d9c4994b2039722ab3c62b99bb,wroclaw,,59.6,3.0,1.0,3.0,2000.0,51.0835607,17.0377505,3.07,18.0,0.325,1.053,0.442,0.275,0.027,1.069,0.156,condominium,,,no,no,no,no,no,4000
194fa5569b2f6b37d5aecbfee96902bb,warszawa,,37.12,2.0,2.0,6.0,,52.22634,21.00955,0.72,105.0,0.29,0.169,0.187,0.217,0.09,0.14,0.141,condominium,,,no,no,yes,no,no,4250
f815aac9bbc35c619716b4c9a613dc2c,warszawa,apartmentBuilding,41.9,2.0,7.0,10.0,2001.0,52.2068074,21.0019862,2.77,23.0,0.106,0.361,0.153,0.401,0.262,0.199,0.015,condominium,brick,premium,yes,yes,yes,no,no,3200
8d270b305ecc31fa685e8b3080f6da56,warszawa,apartmentBuilding,40.0,2.0,6.0,6.0,2021.0,52.2290998,20.9151739,6.03,19.0,0.314,0.166,0.109,0.339,0.341,2.057,0.041,condominium,brick,,no,yes,yes,yes,yes,3200
6a8886c41c83c6316bed080cb492ae7d,katowice,blockOfFlats,72.0,4.0,10.0,10.0,1980.0,50.218,19.02313,4.6,0.0,1.794,2.418,2.989,2.038,1.247,3.614,2.325,condominium,concreteSlab,premium,no,yes,yes,no,no,2400
00965fd7c3f0b29d0a7c1be7b39a0f95,warszawa,blockOfFlats,118.0,4.0,3.0,6.0,1997.0,52.24002,20.99994,0.96,56.0,0.136,0.365,0.419,0.079,0.231,0.428,0.191,condominium,,,yes,yes,yes,no,no,7500
0a1a96828d43086848ed024c09b2f767,gdansk,apartmentBuilding,76.04,3.0,4.0,4.0,2019.0,54.3419,18.6565,0.84,13.0,0.096,0.118,0.154,0.749,0.173,1.373,0.275,condominium,brick,premium,no,yes,yes,no,no,4800
e1076f6408d87c2b1e036aaf94e1da39,krakow,,56.0,2.0,,8.0,2012.0,50.0273212,19.9190815,3.4,24.0,0.08,0.059,0.365,0.048,0.033,1.857,0.138,condominium,,,no,no,yes,no,no,3400
a9f7570f4aa56f2200fcae87c538c2a9,krakow,apartmentBuilding,54.0,2.0,1.0,7.0,,50.0492541,19.9593263,1.64,24.0,0.166,0.246,0.533,0.317,0.033,0.732,0.431,condominium,brick,,yes,yes,yes,no,yes,3500
ce2eb7bc8884d83b11464576b8de9ef5,gdynia,,48.0,2.0,2.0,3.0,,54.50537,18.54244,1.75,16.0,0.275,0.107,0.484,0.273,0.396,0.807,0.235,condominium,,,no,no,no,no,no,1900
ea6cbecceddc3e56a3d02e72f889da85,rzeszow,blockOfFlats,37.0,2.0,4.0,6.0,2015.0,50.0301,22.0093,0.87,14.0,0.475,0.696,0.682,0.457,0.083,0.453,0.467,condominium,brick,,yes,yes,yes,yes,yes,2000
1457ad16049a8a6ceb63fac4bf93adad,warszawa,blockOfFlats,39.0,2.0,2.0,5.0,,52.2258005957183,21.0186250686502,1.22,108.0,0.102,0.337,0.337,0.057,0.039,0.444,0.228,condominium,brick,,no,no,yes,no,no,3800
a66c3e3c43d469cdd1053686df14e36c,warszawa,,38.0,2.0,6.0,12.0,,52.19926,21.01268,3.66,28.0,0.175,0.381,0.077,0.13,0.091,0.984,0.118,condominium,,,no,no,no,no,no,4000
eee39c309b4f55e057485d848bb2772b,bydgoszcz,,40.0,2.0,1.0,1.0,,53.126,18.0079,0.65,54.0,0.111,0.205,0.351,0.405,0.058,0.622,0.205,condominium,,,no,no,,no,no,1500
db2951ef78760c9e66087742e005b5cc,krakow,apartmentBuilding,46.0,2.0,,5.0,2010.0,50.0758,19.9904,4.35,8.0,0.301,0.932,0.546,0.386,0.327,2.084,0.636,condominium,brick,,no,yes,yes,no,no,3300
2068b3403ecb742ca29a227fcbae0f8b,lodz,apartmentBuilding,40.0,2.0,3.0,5.0,2022.0,51.74863,19.46969,3.8,7.0,0.246,0.299,0.928,0.288,0.388,0.838,0.454,condominium,brick,,no,yes,yes,no,no,2300
6a570d745c535ca0b011e24a38154598,lodz,blockOfFlats,38.0,2.0,4.0,4.0,1975.0,51.7418,19.49748,5.3,17.0,0.137,1.488,0.601,0.239,0.177,2.408,0.239,condominium,concreteSlab,,no,no,no,no,yes,1400
4d0b46b25619d573ac33772f988eb0ac,poznan,apartmentBuilding,74.48,3.0,1.0,5.0,2009.0,52.4017827,16.9391556,0.72,21.0,0.024,0.575,0.588,0.024,0.311,0.921,0.172,condominium,brick,,no,yes,yes,no,no,3900
a979f07a85ad93d4a72f0706dbbd85f2,warszawa,tenement,57.0,3.0,3.0,4.0,1926.0,52.20881,20.9652,3.65,15.0,0.062,0.573,0.654,0.152,0.17,0.676,0.118,condominium,brick,premium,no,yes,yes,no,no,6500
385f57a5b758fd155698f3b1021ef54f,poznan,,45.95,2.0,2.0,2.0,2021.0,52.39365744,16.91977486,1.91,32.0,0.304,0.689,0.09,0.091,0.015,0.27,0.154,condominium,,,no,yes,yes,no,no,3000
7c46e0d133990ba695dc7a0bce31f9da,wroclaw,blockOfFlats,42.0,2.0,7.0,8.0,,51.1194548,17.0499976,1.71,27.0,0.089,0.376,0.273,0.227,0.274,0.779,0.326,condominium,,,no,no,yes,no,yes,2300
0e68643f5bbd284346290188b7a5e85e,gdansk,apartmentBuilding,70.0,3.0,4.0,8.0,2023.0,54.36016,18.65574,1.2,12.0,0.323,0.407,0.567,0.346,0.226,0.553,0.156,condominium,brick,,no,yes,yes,no,no,4900
52c3dbc1348ffa1607913368ccf40a22,krakow,blockOfFlats,41.0,2.0,1.0,4.0,2004.0,50.0087836653321,20.0142274908967,7.49,13.0,0.459,0.854,0.442,0.345,0.229,3.237,0.051,condominium,brick,,no,yes,no,no,no,2000
b6fc20ab80bc9f0f2f6cbb4240256932,warszawa,blockOfFlats,40.0,2.0,12.0,15.0,1972.0,52.2374138456696,21.0016955046443,0.65,59.0,0.204,0.347,0.623,0.153,0.002,0.701,0.294,condominium,concreteSlab,,yes,no,yes,no,yes,3300
d701a45a2d83e24fd30b5d252b4e7935,warszawa,tenement,58.0,2.0,4.0,6.0,1930.0,52.21803,21.01636,1.75,54.0,0.203,0.243,0.247,0.101,0.134,0.462,0.203,condominium,brick,,no,yes,yes,yes,no,4500
dd027717ea8fbc4cd966ddcb3a8076b3,warszawa,tenement,58.0,2.0,1.0,3.0,1900.0,52.2498417,21.0282339,2.62,14.0,0.195,1.253,0.305,0.126,0.184,0.85,0.2,condominium,brick,,yes,yes,no,no,no,3600
b3e9950ffa6d7874611a19b8bde766eb,warszawa,,51.5,2.0,7.0,7.0,,52.22935,21.0773,5.03,23.0,0.239,0.877,0.114,0.095,0.053,0.626,0.111,condominium,,,no,yes,no,no,no,4000
c095dc8ed9cea24ae11a72beff3dc53a,bialystok,blockOfFlats,60.0,3.0,3.0,3.0,2023.0,53.1482798,23.1529076,1.74,7.0,0.066,1.229,0.413,0.233,0.427,1.321,0.32,condominium,brick,premium,yes,yes,yes,no,no,3200
19e7859c669c03fabcb8fb9a8b945501,wroclaw,apartmentBuilding,50.0,3.0,1.0,3.0,2018.0,51.1458649,17.0355841,3.93,2.0,0.456,0.551,0.404,0.732,0.509,2.595,0.545,condominium,brick,premium,yes,yes,no,no,no,4100
3b91a50eb7ff5d1503cd65f5200789c8,poznan,,41.74,2.0,3.0,5.0,,52.4091654,16.9234397,0.84,65.0,0.137,0.771,0.413,0.066,0.069,0.514,0.044,condominium,,,no,no,yes,no,no,4543
1a6ff03dd880b9ca37725b0af19c7ef4,czestochowa,blockOfFlats,51.0,2.0,2.0,4.0,,50.823,19.0906,2.96,3.0,0.788,2.074,0.488,0.384,0.548,1.712,0.602,condominium,brick,,yes,yes,yes,yes,yes,1790
7be5612e93b891015aa93c68e86402d9,katowice,blockOfFlats,47.0,2.0,4.0,8.0,1965.0,50.26322913,19.02132511,0.45,48.0,0.153,0.147,0.495,0.104,0.187,0.17,0.256,condominium,brick,premium,no,yes,yes,no,no,2000
f5b25e35e1c3b420c5735df70b3b7cfc,warszawa,apartmentBuilding,90.0,3.0,5.0,5.0,2010.0,52.1561298,21.1116284,11.18,0.0,1.358,3.744,1.033,1.597,1.01,3.27,1.118,condominium,brick,,yes,yes,yes,no,no,4700
701592631873e69fb62860b864da933d,krakow,apartmentBuilding,72.0,4.0,3.0,3.0,2022.0,50.020141,20.059673,9.5,0.0,1.292,3.952,0.654,0.726,0.707,4.331,0.709,condominium,brick,,yes,yes,no,no,no,3700
2cf77b70e16446f959cebe625e17ff17,szczecin,blockOfFlats,59.0,3.0,5.0,10.0,1984.0,53.456111,14.493056,5.78,12.0,0.394,1.766,0.21,0.152,0.676,2.931,0.224,condominium,concreteSlab,premium,no,yes,yes,no,no,2400
23ce9ac3c4597e15dea340b321595081,warszawa,,120.0,5.0,,6.0,1928.0,52.2273,21.03391,2.12,20.0,0.296,0.99,0.514,0.176,0.062,0.931,0.269,condominium,,,no,no,yes,no,no,19000
b81d418d24e9af1aec1aa9b761387809,warszawa,blockOfFlats,38.0,2.0,1.0,4.0,1965.0,52.23807845,21.0900233,5.93,23.0,0.182,0.434,0.482,0.399,0.177,0.732,0.377,condominium,brick,,no,no,,no,no,3400
c036119ba88a081c3c718d9237b1523f,warszawa,apartmentBuilding,80.0,3.0,2.0,2.0,2019.0,52.196607,21.126872,9.26,5.0,0.451,2.853,2.057,0.195,0.467,,0.562,condominium,brick,,no,yes,no,no,no,4300
9da258c8a81f30a0a282ff672a436870,warszawa,blockOfFlats,100.0,4.0,3.0,4.0,1999.0,52.22459,20.899,7.17,9.0,0.279,0.635,0.113,0.333,0.034,3.135,0.129,condominium,,,no,yes,no,no,no,7500
4806094d1df0013eff1f2caebdce3aad,warszawa,,50.0,2.0,9.0,10.0,2017.0,52.17894,21.02828,6.11,13.0,0.521,0.159,0.711,0.671,0.087,2.251,0.293,condominium,brick,,no,yes,yes,no,no,3900
6be83f90b6a32bcfc9887468969f8394,warszawa,blockOfFlats,38.0,2.0,4.0,6.0,1965.0,52.2317360110348,21.0788503347768,5.13,24.0,0.046,0.606,0.259,0.068,0.183,0.634,0.184,condominium,brick,,no,yes,yes,no,no,2600
fc4552af40ec0810bd555ac4ca1fa380,warszawa,,73.0,3.0,1.0,4.0,,52.16068,21.07822,9.4,29.0,0.711,1.63,0.442,0.632,0.125,2.067,0.149,condominium,,,no,yes,no,no,no,5500
c2ab4f856682774f0ff13e652dde5159,gdansk,blockOfFlats,47.8,2.0,1.0,4.0,2004.0,54.39097,18.59904,5.85,23.0,0.137,0.654,0.17,0.285,0.347,1.444,0.082,condominium,brick,,no,yes,yes,no,yes,2500
8424eb774022b04ccbcdffdcbf810717,lublin,blockOfFlats,50.0,2.0,3.0,3.0,,51.2584158,22.5556057,1.46,15.0,0.356,0.478,0.743,0.264,0.123,0.23,0.393,condominium,,,no,no,no,no,no,2400
2a583f8f85159ad6ccf2c924fd17d06e,krakow,apartmentBuilding,62.0,2.0,1.0,8.0,2013.0,50.0713956,19.954938,2.14,14.0,0.444,0.328,0.414,0.4,0.252,0.899,0.174,condominium,brick,,yes,yes,yes,yes,yes,3900
2e41cc11eb18414e16188bd3432cebf9,warszawa,,45.0,2.0,6.0,10.0,1975.0,52.2931809,21.0464796,7.43,29.0,0.124,0.389,0.376,0.124,0.152,2.1,0.076,condominium,concreteSlab,,no,yes,yes,no,yes,2950
ff2cc1ca52599ed41c728825d451a804,warszawa,apartmentBuilding,107.0,4.0,3.0,4.0,2022.0,52.24513,21.06607,4.51,17.0,0.236,0.322,0.331,0.151,0.174,0.736,0.229,condominium,brick,,no,yes,yes,yes,no,14500
97c421db922e075c2695afe6e133f3c7,krakow,blockOfFlats,38.0,2.0,4.0,4.0,1950.0,50.078,20.037,7.47,29.0,0.066,1.506,0.211,0.041,0.435,0.262,0.12,condominium,brick,,yes,yes,no,no,yes,2200
e2378c955eb6035773e39a5e5e6f9c81,krakow,blockOfFlats,38.0,2.0,2.0,8.0,,50.07796,19.92217,2.77,23.0,0.086,0.656,0.113,0.104,0.33,0.744,0.12,condominium,,,no,no,yes,no,no,2600
731fa34ad33ec52b51b9284fb39f51db,gdynia,apartmentBuilding,100.0,3.0,4.0,6.0,2020.0,54.52296,18.54498,0.42,31.0,0.255,1.396,0.471,0.539,0.15,0.06,0.155,condominium,brick,,no,no,yes,yes,no,5550
b952f22723d8070fdc1c943a21dad266,warszawa,blockOfFlats,49.37,3.0,5.0,5.0,2020.0,52.1989,20.95181,5.07,11.0,0.471,1.121,0.469,0.073,0.16,2.041,0.453,condominium,,,no,yes,yes,yes,no,4500
d144da248974ec033aed25e83839c586,warszawa,,62.0,2.0,3.0,4.0,,52.15016,21.02603,9.2,13.0,0.445,0.629,0.219,0.066,0.452,1.123,0.473,condominium,,,no,yes,no,yes,no,4200
6aef913c14ef0387d413fe877d18ddb9,warszawa,tenement,34.0,2.0,4.0,6.0,1906.0,52.2510482,21.0355783,3.06,41.0,0.115,0.769,0.282,0.107,0.011,0.509,0.193,condominium,brick,premium,no,no,yes,no,no,3200
05bfca2db90f11d85b285262b06e6765,warszawa,,72.0,3.0,2.0,2.0,,52.16669,21.1232,10.9,1.0,2.392,4.714,0.88,1.315,0.428,4.63,0.833,condominium,,,no,no,no,no,no,5500
7c2d4cd0aae5ffd7fc05e2467af120ec,warszawa,,75.0,3.0,5.0,5.0,,52.19413,21.06233,5.79,7.0,0.409,1.269,0.089,0.048,0.107,3.544,0.276,condominium,,,no,no,yes,no,no,8000
045ed9bba3e1e8ded21bb7c49ff4e70d,krakow,,36.0,2.0,2.0,4.0,2009.0,50.0732,19.92041,2.37,30.0,0.125,0.242,0.139,0.201,0.164,0.322,0.167,condominium,,,no,no,no,no,no,3000
dd47a50c996525d187eed90b98c2c15b,krakow,blockOfFlats,90.0,4.0,1.0,2.0,,50.02403575,19.93942625,3.48,1.0,0.389,0.501,0.631,0.638,0.642,2.374,0.836,condominium,brick,,yes,no,no,no,no,4000
480e2ededa8c014ed35ef111c1a62459,warszawa,tenement,37.0,2.0,2.0,2.0,1945.0,52.26873575,20.97931035,4.44,40.0,0.274,0.238,0.221,0.14,0.052,0.726,0.2,condominium,brick,,no,no,no,no,no,2800
a99b91f9d8f3b041cad24e5deb4b55e3,warszawa,apartmentBuilding,94.0,3.0,4.0,6.0,,52.229918,21.0262528,1.56,35.0,0.19,0.41,0.269,0.605,0.211,0.369,0.389,condominium,brick,premium,yes,yes,yes,yes,no,14500
f72e621ae48f0ed810f81f83ad4dfc12,wroclaw,,48.0,3.0,4.0,4.0,,51.1116384,17.035006,0.38,136.0,0.221,0.273,0.183,0.087,0.029,0.39,0.161,condominium,,premium,no,yes,no,no,no,3500
a965606da71487e423a5fc3edf289154,krakow,apartmentBuilding,44.0,2.0,,5.0,2012.0,50.0408129,19.9396642,1.61,26.0,0.084,0.73,0.331,0.087,0.197,0.826,0.208,condominium,brick,,no,yes,no,no,yes,3000
e7e21e9623ad166c62d101312781b1d9,warszawa,,130.0,6.0,3.0,3.0,,52.18459,21.03321,5.62,2.0,0.39,0.613,0.646,0.534,0.488,2.205,0.597,condominium,,,no,yes,no,no,no,13500
4864e72d4cf0ea217962602715012787,lodz,,34.0,1.0,3.0,4.0,2021.0,51.7942,19.44745,1.5,17.0,0.102,0.725,0.185,0.189,0.09,1.029,0.273,condominium,,,no,no,no,no,no,1818
f8f22cb4ada13e515134d904c0658a56,wroclaw,,69.74,3.0,1.0,3.0,2021.0,51.06821,16.97943,5.89,2.0,0.58,1.708,0.819,0.456,0.535,2.9,0.483,condominium,,,no,yes,no,no,no,3700
